zip,city,state
90001,Los Angeles,CA
90002,Los Angeles,CA
90003,Los Angeles,CA
94102,San Francisco,CA
94103,San Francisco,CA
94107,San Francisco,CA
94108,San Francisco,CA
94109,San Francisco,CA
94110,San Francisco,CA
94111,San Francisco,CA
94112,San Francisco,CA
94114,San Francisco,CA
94115,San Francisco,CA
94116,San Francisco,CA
94117,San Francisco,CA
94118,San Francisco,CA
94121,San Francisco,CA
94122,San Francisco,CA
94123,San Francisco,CA
94124,San Francisco,CA
94127,San Francisco,CA
94131,San Francisco,CA
94132,San Francisco,CA
94134,San Francisco,CA
90210,Beverly Hills,CA
90717,Lomita,CA
95966,Oroville,CA
90305,Inglewood,CA
93637,Madera,CA
10001,New York,NY
10002,New York,NY
10003,New York,NY
10004,New York,NY
10005,New York,NY
10006,New York,NY
10007,New York,NY
10010,New York,NY
10011,New York,NY
10012,New York,NY
10013,New York,NY
10014,New York,NY
10016,New York,NY
10017,New York,NY
10018,New York,NY
10019,New York,NY
10020,New York,NY
10021,New York,NY
10022,New York,NY
10023,New York,NY
10024,New York,NY
10025,New York,NY
10026,New York,NY
10027,New York,NY
10028,New York,NY
10029,New York,NY
10030,New York,NY
10031,New York,NY
10032,New York,NY
10033,New York,NY
10034,New York,NY
10035,New York,NY
10036,New York,NY
10037,New York,NY
10038,New York,NY
10039,New York,NY
10040,New York,NY
73301,Austin,TX
73344,Austin,TX
60601,Chicago,IL
60602,Chicago,IL
60603,Chicago,IL
60604,Chicago,IL
60605,Chicago,IL
60606,Chicago,IL
73344,Austin,TX
73301,Austin,TX
07030,Hoboken,NJ
30301,Atlanta,GA
85001,Phoenix,AZ
73344,Austin,TX
73301,Austin,TX
48201,Detroit,MI
32801,Orlando,FL
98101,Seattle,WA
73301,Austin,TX
73344,Austin,TX
73301,Austin,TX
73344,Austin,TX
73301,Austin,TX
73344,Austin,TX
10045,New York,NY
10046,New York,NY
10047,New York,NY
10048,New York,NY
10055,New York,NY
10060,New York,NY
10069,New York,NY
11201,Brooklyn,NY
11215,Brooklyn,NY
11217,Brooklyn,NY
11238,Brooklyn,NY
11249,Brooklyn,NY
30303,Atlanta,GA
33101,Miami,FL
73301,Austin,TX
73344,Austin,TX
73301,Austin,TX
73344,Austin,TX

